lemma,ilis
kunde,['i89349']
storm,['i97824']
bamse,"['i60056', 'i46658']"
boks,['i51426']
balkong,['i50382']
likhet,"['i61954', 'i61951', 'i61949']"
vei,"['i58206', 'i61035', 'i37589']"
kupp,['i41402']
hjelp,['i41714']
lys,['i51431']
slutt,['i70107']
håndverker,['i89293']
foto,['i57211']
spann,"['i79245', 'i51202']"
utvikling,"['i107557', 'i107620']"
punkt,"['i110051', 'i82287']"
status,['i112835']
kollega,['i89072']
beregning,['i67375']
plattform,['i57430']
omstendighet,['i113269']
plate,"['i71097', 'i59034']"
vert,"['i90917', 'i90580']"
oppførsel,"['i41782', 'i62792']"
sekretær,['i92822']
element,"['i52228', 'i56944']"
planet,['i85986']
personlighet,['i61348']
selskap,"['i75850', 'i75849', 'i80500']"
taper,['i91091']
hånd,['i66153']
kontrast,['i109737']
høyttaler,['i55832']
tidspunkt,"['i117492', 'i116632']"
fløte,['i78406']
stykke,"['i86153', 'i77131']"
felt,"['i68324', 'i68339']"
hage,"['i81475', 'i61309']"
lån,['i107149']
undertøy,['i60708']
mus,"['i56410', 'i47795']"
register,"['i70654', 'i70569']"
andel,['i41091']
plikt,"['i39216', 'i41323']"
overlevelse,['i110307']
vilje,['i66624']
statsråd,['i91387']
skoleelev,['i92757']
skygge,['i110428']
golf,['i37860']
opposisjon,['i81265']
operasjon,"['i38955', 'i39966', 'i37553']"
husleie,['i106542']
språk,"['i69527', 'i72795']"
natur,"['i85848', 'i110197', 'i61872']"
skål,['i51022']
benk,['i50698']
relevans,['i109396']
test,['i39567']
fotball,['i37904']
stang,"['i57505', 'i58230']"
bord,"['i59923', 'i59922']"
overflate,"['i82479', 'i59827']"
tank,['i59984']
kveld,"['i116920', 'i116916']"
beskyttelse,['i39702']
lettelse,['i112921']
krone,['i52549']
strupe,['i66072']
begivenhet,['i74993']
bonus,['i106416']
sommer,['i117310']
kontroll,['i112902']
appelsin,['i77762']
vedlikehold,['i36802']
rev,['i46575']
brille,['i59285']
port,['i54238']
dimensjon,['i63761']
mord,['i36562']
waterfall,['i86414']
wood,['i116549']
snow,['i98073']
ski,['i58996']
season,['i117323']
ice,['i115475']
winter,['i117312']
salmon,['i49007']
berry,['i77735']
sheep,['i48291']
boat,['i50885']
cloud,['i85226']
cabin,['i51337']
mountain,['i85815']
midnight,['i116927']
countryside,['i82392']
storm,['i97824']
ocean,['i85897']
crown,['i52549']
aurora,['i116932']
