lemma,ilis
amnistia,['i70899']
autovía,['i53529']
malicia,['i61504']
cápsula,['i70447']
vino,['i78715']
lana,"['i116579', 'i45310', 'i61244']"
invasión,"['i40513','i39287']"
queso,['i78427']
estupidez,['i66587']
joven,"['i91171','i90206','i89923','i94223']"
taco,"['i74102','i78649']"
trabajo,"['i110340','i38449','i61259','i38467']"
arbusto,['i105591']
arte,"['i50178','i40314','i66548']"
valle,['i86379']
teléfono,"['i60065','i69469']"
gastroenteritis,['i111370']
admirador,"['i88948', 'i80325', 'i88086']"
teclado,['i52242']
todo,['i67718']
cincuenta,['i107125']
credo,"['i68078', 'i68146']"
júbilo,['i76312']
comprimido,['i57275']
mulato,['i87274']
porqué,"['i84881','i71917']"
esquina,"['i82477', 'i81885', 'i52370']"
descuento,['i106690']
mes,"['i117131','i117150']"
excavación,"['i40257', 'i40355', 'i81910', 'i53506']"
extremo,"['i81999','i82013','i82014']"
verano,['i117310']
saludo,"['i71323', 'i71335']"
tía,"['i88357','i89378']"
micrófono,['i56215']
habla,"['i74130','i73859','i66617']"
muchacho,"['i88670', 'i91171', 'i94223']"
vendimia,['i78716']
museo,['i56456']
dormitorio,['i50650']
cráter,['i85280']
turista,['i93703']
circuito,"['i57875','i57872','i37041']"
proclamación,['i71848']
h,['i117257']
ruta,"['i82265','i67875','i37052']"
fábrica,"['i53564', 'i57398']"
peso,"['i63417','i61069','i108928']"
cumpleaños,"['i117401', 'i117384']"
reverencia,['i76277']
clima,['i113304']
astucia,"['i62612','i62613','i39392']"
tribu,"['i81104','i79196']"
norteamericano,['i87891']
combate,"['i40454','i37749','i41538']"
salchicha,['i77287']
mono,"['i48648','i56826']"
ronda,['i71654']
papaya,['i98806']
tonalidad,"['i63205', 'i72552']"
contrarrevolucionario,['i89260']
balneario,"['i58112', 'i82548']"
túnel,['i60637']
país,"['i80773', 'i80079', 'i81672', 'i81888']"
cubista,['i89333']
pescado,"['i48883', 'i77942']"
barreño,['i50265']
aritmética,['i68343']
desesperación,"['i61566', 'i113128', 'i76387']"
cañaveral,['i81461']
guanaco,['i48457']
puerco,['i48199']
interrupción,['i75412']
monasterio,['i56337']
dos,['i70970']
cantante,['i93005']
altiplano,['i86288']
galería,"['i58420','i60816','i54146','i54145']"
sillín,['i50741']
ladrón,"['i49829', 'i93630']"
terrace,['i57055']
bullfight,['i51237']
festival,['i116891']
sunrise,['i98125']
pottery,['i57608']
mosaic,['i56382']
siesta,['i39911']
cathedral,['i51646']
sailor,['i88605']
shepherd,['i92924']
valley,['i86379']
donkey,['i72659']
vineyard,['i60863']
grape,['i77835']
sun,['i86272']
ham,['i77246']
statue,['i59503']
wine,['i78715']
convent,['i52313']
carnival,['i38116']
