lemma,ilis
snow,['i98073']
ski,['i58996']
mountain,['i85815']
nature,['i86562']
midnight,['i116927']
aurora,['i116932']
ice,['i115475']
forest,['i85418']
lake,['i85647']
harbor,['i82357']
sheep,['i48291']
wood,['i116549']
storm,['i97824']
boat,['i50885']
village,['i80343']
river,['i86078']
king,['i90847']
crown,['i52549']
countryside,['i82392']
island,['i85597']
cheese,['i78427']
dawn,['i116932']
twilight,['i116935']
wave,['i75330']
cave,['i85180']
waterfall,['i86414']
winter,['i117312']
sport,['i38140']
season,"['i117323', 'i117324', 'i117307']"
cloud,['i85226']
